Token,Alpha,Beta,R²,Residual Std,Cluster
aave,-0.0013793897076394,1.7863489621915505,0.6109471886244305,0.03492041826002,1
aptos,-0.0048906385801117,1.3085499904750233,0.4634885559153054,0.0344882372309117,1
arbitrum,-0.0057354575975216,1.7055861829783487,0.5203212286958732,0.0401165740372596,1
avalanche-2,-0.0051165485065841,1.6567756629811083,0.6535244196479527,0.0295515185711564,1
binance-bridged-usdt-bnb-smart-chain,6.599892663778352e-06,0.0018756256422752,0.0005049551327597,0.0020441877425655,2
binancecoin,-0.0007347628908863,0.6594562662007024,0.4429205356874309,0.0181172533246022,2
bitcoin-cash,-2.0213286541885957e-05,1.151820931723304,0.4660492049094286,0.0302016305642261,1
bitcoin,2.755699100834143e-05,0.9953060007660692,0.999892854799038,0.0002523927891948,2
bonk,-0.0024221755820104,2.1792395403017406,0.567051113873429,0.0466469089677918,1
cardano,-0.0043869590239407,2.0292017663012047,0.6175946758560458,0.0391152505358542,1
chainlink,-0.003453563109045,1.7001219167579449,0.7302833845642723,0.025310393547273,1
dogecoin,-0.0054590901030097,1.7855931629730224,0.7362108397591077,0.0261830704577205,1
ethena,-0.0079724934852621,1.926768468868294,0.3917248676778798,0.058816568269704,1
ethereum,-0.0022891348016019,1.4596158611234535,0.7027453017929366,0.0232549094916916,1
fartcoin,-0.0014916571292411,2.9874607866441707,0.3622439599641406,0.0971045585943999,0
first-digital-usd,-1.64342303513002e-05,0.0188203654752837,0.0245256441422315,0.0029076120571257,2
hedera-hashgraph,-0.0043688684717393,1.4978646996873388,0.5827767662481808,0.0310467686018401,1
hyperliquid,0.0020065460951918,1.522499791662044,0.3869710396979121,0.0469428222988815,1
litecoin,-0.0017158907749974,1.1380044704532015,0.418592889283537,0.0328548058745874,1
mantle,-0.0044353682889295,0.9420187544437072,0.3834601274252418,0.0292611047183839,1
near,-0.0059698530758868,1.718782617458059,0.6223070100807189,0.032801881822457,1
official-trump,-0.0074581728944265,1.7135783089360028,0.2552537251661054,0.0712586378155345,1
optimism,-0.0078703480666413,1.6348148575944583,0.4702070843467754,0.0425096722420377,1
pepe,-0.0045083167011792,1.959203020474758,0.5401011492307204,0.0442877629940529,1
polkadot,-0.0047258599748633,1.271356614883251,0.5429027268207756,0.0285773123689414,1
pudgy-penguins,-0.0057891660569311,1.9750646371356453,0.3072044113123994,0.072657564709968,1
ripple,-0.0019218481548828,1.59491504156549,0.657322220685962,0.0282099333504456,1
sei-network,-0.0031982816506754,1.5294394836331118,0.4246281687032155,0.0436126912105043,1
shiba-inu,-0.00445857261549,1.3938272646760177,0.6201507468921468,0.0267224731603002,1
solana,-0.0023678025417712,1.6285147291163786,0.6435970172562573,0.0296869810827972,1
stellar,-0.0039996076021336,1.3435923449458318,0.6299154636723123,0.0252282744250451,1
sui,-0.0039167674151633,1.87951016231052,0.6233425762761398,0.0357902918150312,1
tether,-2.9818526087247225e-06,0.0077956995471894,0.3478782941243828,0.0002614667363136,2
the-open-network,-0.0044983700283675,1.0019760560290585,0.3541758052523563,0.0331448261318807,1
tron,0.0012248017850604,0.4305792970343953,0.2079190932134107,0.0205873961620011,2
uniswap,-0.0044629937928911,1.6977153836967802,0.5439421858968199,0.0380810710589633,1
usd1-wlfi,-6.861306312691101e-05,0.0156568399848763,0.0116764971851272,0.0026037397548318,2
usdt0,1.015736090322876e-06,0.0090434350793169,0.014696610923323,0.0017999035741284,2
