Token,Alpha,Beta,R²,Residual Std
aave,-0.0013793897076394615,1.7863489621915505,0.6109471886244305,0.034920418260020084
aptos,-0.00489063858011179,1.3085499904750233,0.46348855591530547,0.03448823723091176
arbitrum,-0.005735457597521646,1.7055861829783487,0.5203212286958732,0.04011657403725969
avalanche-2,-0.005116548506584165,1.6567756629811083,0.6535244196479527,0.02955151857115641
binance-bridged-usdt-bnb-smart-chain,6.599892663778352e-06,0.0018756256422752004,0.0005049551327597213,0.0020441877425655844
binancecoin,-0.0007347628908863544,0.6594562662007024,0.44292053568743095,0.018117253324602296
bitcoin-cash,-2.0213286541885954e-05,1.1518209317233041,0.4660492049094286,0.030201630564226176
bitcoin,2.755699100834143e-05,0.9953060007660692,0.9998928547990381,0.0002523927891948822
bonk,-0.002422175582010469,2.1792395403017406,0.567051113873429,0.04664690896779181
cardano,-0.0043869590239407116,2.0292017663012047,0.6175946758560458,0.03911525053585428
chainlink,-0.0034535631090450644,1.7001219167579449,0.7302833845642723,0.025310393547273054
dogecoin,-0.005459090103009742,1.7855931629730224,0.7362108397591077,0.02618307045772056
ethena,-0.007972493485262161,1.926768468868294,0.39172486767787984,0.058816568269704
ethereum,-0.002289134801601907,1.4596158611234535,0.7027453017929366,0.023254909491691678
fartcoin,-0.001491657129241126,2.9874607866441707,0.3622439599641406,0.09710455859439995
first-digital-usd,-1.64342303513002e-05,0.018820365475283714,0.024525644142231573,0.002907612057125777
hedera-hashgraph,-0.004368868471739308,1.4978646996873388,0.5827767662481808,0.03104676860184019
hyperliquid,0.0020065460951918085,1.522499791662044,0.38697103969791213,0.04694282229888155
litecoin,-0.001715890774997402,1.1380044704532017,0.418592889283537,0.032854805874587466
mantle,-0.004435368288929583,0.9420187544437073,0.3834601274252418,0.029261104718383918
near,-0.005969853075886872,1.718782617458059,0.6223070100807189,0.032801881822457024
official-trump,-0.007458172894426573,1.7135783089360028,0.25525372516610545,0.0712586378155345
optimism,-0.007870348066641365,1.6348148575944583,0.4702070843467754,0.042509672242037735
pepe,-0.004508316701179265,1.959203020474758,0.5401011492307204,0.044287762994052945
polkadot,-0.004725859974863398,1.271356614883251,0.5429027268207756,0.028577312368941465
pudgy-penguins,-0.005789166056931111,1.9750646371356455,0.3072044113123994,0.07265756470996802
ripple,-0.001921848154882804,1.59491504156549,0.657322220685962,0.028209933350445623
sei-network,-0.0031982816506754275,1.5294394836331118,0.4246281687032155,0.043612691210504345
shiba-inu,-0.0044585726154900765,1.3938272646760175,0.6201507468921468,0.026722473160300228
solana,-0.002367802541771235,1.6285147291163786,0.6435970172562573,0.029686981082797288
stellar,-0.003999607602133635,1.3435923449458318,0.6299154636723123,0.025228274425045126
sui,-0.003916767415163326,1.87951016231052,0.6233425762761398,0.0357902918150312
tether,-2.9818526087247225e-06,0.007795699547189472,0.34787829412438287,0.0002614667363136902
the-open-network,-0.004498370028367581,1.0019760560290585,0.35417580525235637,0.03314482613188072
tron,0.0012248017850604964,0.43057929703439535,0.20791909321341073,0.02058739616200115
uniswap,-0.0044629937928911765,1.6977153836967802,0.5439421858968199,0.03808107105896333
usd1-wlfi,-6.861306312691101e-05,0.01565683998487631,0.0116764971851272,0.002603739754831841
usdt0,1.015736090322876e-06,0.00904343507931696,0.014696610923323083,0.0017999035741284297
